,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
0,HalfAtaxic,Switch,HalfAtaxic01,S1,Baseline,1,0,0,0.0,0.48420453312416356,-0.6004901960784288,-0.0009818913904054288,0.0,0.0,0.0,-0.5914600407180899,0.0
1,HalfAtaxic,Switch,HalfAtaxic01,S1,Baseline,2,1,1,2.1515509094854792,0.0,0.0,0.0,0.09001144255046256,1.0547984730113455,1.0288257791538626,0.2437259860063108,-1.8189894035458565e-12
2,HalfAtaxic,Switch,HalfAtaxic01,S1,Baseline,3,2,2,-3.836475719105124,-0.9544314760150314,0.4267767665087625,0.0018970760912986606,-0.38818975891732066,-1.3366313895793667,-1.4196280277135997,0.0,3.030303030311188
3,HalfAtaxic,Switch,HalfAtaxic01,S1,Split,4,0,0,-0.8327291469381919,-1.347291734483548,0.8743647362233133,-0.1253609301546736,9.391522648358546,5.372245865638774,-8.371181680698555,-13.2332803671586,-27.272727272727934
4,HalfAtaxic,Switch,HalfAtaxic01,S1,Intersplit,5,0,0,1.0093457771070007,-0.034311908320106,-3.994020202511663,-0.0008459757574799942,1.0076657690182742,-0.08690959275369892,-0.004005432128877828,-0.16769379423902464,-3.0303030302966363
5,HalfAtaxic,Switch,HalfAtaxic01,S1,Split,6,1,1,-2.496686393831993,-1.3989859879619004,-1.6572534811025834,-0.11647036407389152,5.48473319622002,3.8466313502171516,-6.995883132472173,-10.305825656254981,-30.30303030302639
6,HalfAtaxic,Switch,HalfAtaxic01,S1,Intersplit,7,1,1,3.53861336756232,1.3894701646233116,-2.550046275813761,-0.0027614559429342406,-1.3571768095999062,1.9665573582505118,0.7014380560980982,-1.0422893772483448,4.547473508864641e-12
7,HalfAtaxic,Switch,HalfAtaxic01,S1,Split,8,2,2,0.95812864977907,-0.3159763837101508,2.3845844307872426,-0.12208123320580502,10.03351693201546,4.498202391345075,-5.214145930126449,-11.712360231445444,-18.18181818181438
8,HalfAtaxic,Switch,HalfAtaxic01,S1,Intersplit,9,2,2,1.252946949968404,1.145961067893289,-1.5557129366407971,0.0027402559163779427,-0.562109128393331,1.058281792534757,1.6690795721913645,-1.9911421284849027,3.0303030303039122
9,HalfAtaxic,Switch,HalfAtaxic01,S1,Split,10,3,3,-0.2351626001223508,-1.2877735396656362,-0.6004901960784288,-0.12370427342209683,11.803220498441434,6.761042277018248,-6.60861609359381,-13.68811940402519,-31.818181818178346
10,HalfAtaxic,Switch,HalfAtaxic01,S1,Intersplit,11,3,3,4.766398728495901,2.1549456047289155,-2.054652472158513,-0.006167763442814403,3.54018548522329,1.8663348573626877,2.1761364407009722,0.002461596436280189,6.060606060610553
11,HalfAtaxic,Switch,HalfAtaxic01,S1,Split,12,4,4,-0.45026528714885217,-2.8684128390890535,-1.95403248712072,-0.12114460418471651,7.171176178286743,3.6624571289679153,-8.931061715790705,-11.810785739352166,-16.666666666662422
12,HalfAtaxic,Switch,HalfAtaxic01,S1,Intersplit,13,4,4,0.747996628886483,1.2377839778809872,-5.307023972379648,0.003736221024087105,0.5501795296716949,1.0170907685251223,1.8978908808544759,-0.05103137321727402,6.0606060606151
13,HalfAtaxic,Switch,HalfAtaxic01,S1,Split,14,5,5,0.04511361170290229,-2.0441748879173076,-2.146881948655748,-0.1263730719727294,11.65084068221276,6.0607062445746465,-8.920952768036841,-12.393649171054307,-33.33333333332848
14,HalfAtaxic,Switch,HalfAtaxic01,S1,Washout,15,0,0,5.463840985538937,2.358058967975637,-5.458437127196091,-0.0026844046404350813,1.7219004004892469,2.967591237540205,2.223978138933319,-2.2269697352587094,3.0303030303048217
15,HalfAtaxic,Switch,HalfAtaxic01,S1,Washout,16,1,1,3.0216255573310775,1.339401861633874,-3.6796690817089264,-0.00200314523225803,-1.42364501953125,1.481458875868043,2.066338664353509,-1.893722401237092,7.275957614183426e-12
16,HalfAtaxic,Switch,HalfAtaxic01,S1,Washout,17,2,2,3.7219269107086177,2.0294497711489683,-1.5926672038678444,0.00033396662020100665,0.22240841027461045,2.6928159925673043,1.8338463523171384,-0.8267225883920482,6.0606060606114625
17,HalfAtaxic,Switch,HalfAtaxic01,S1,Washout,18,3,3,1.905791928069732,1.2037046027906086,-3.2046568627450966,0.000935970468149222,0.3513528843118081,0.7957959415936955,1.0638439294064028,-3.261005551642384,7.275957614183426e-12
18,HalfAtaxic,Switch,HalfAtaxic01,S1,Washout,19,4,4,5.655385027028075,1.8722419546107716,-3.4698083778966105,0.0007409089577720407,2.2137266216855664,1.3910091284549253,2.4712591460257443,-2.8605656098880345,-3.0303030303039122
19,HalfAtaxic,Switch,HalfAtaxic01,S1,Washout,20,5,5,5.897876469775838,1.778232690059724,-5.027728631655161,0.002737541069144145,1.1948864869397653,1.3794523296933505,1.6477777500344928,-3.631297267759905,-9.09090909090446
