,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
0,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,0,1.7100131872928586,0.5685449850679696,-0.1594641200803424,0.006554460349737612,-0.3070831298827983,-0.21885123718465138,1.6149896563905486,1.5151515151460444
1,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,1,1.1477229571101901,-0.5722072733429044,-1.3710173832099417,0.004062848014669884,0.0895028162484266,-0.26863849524293926,0.036488157330140325,-1.515151515157413
2,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,2,2.3047707297585305,-0.07998148600262311,-3.147399863817773,-0.00025489232642429693,-1.0533342457780748,-0.5767070885860619,0.4458417796125218,-3.637978807091713e-12
3,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,3,-0.913415773950419,-0.2515966242009853,2.7000047640746585,0.002558443227343374,-0.4557445795849162,0.312639486910129,-0.02102707371571455,-7.275957614183426e-12
4,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,4,-0.3150708747632649,0.24730219985499247,-2.683437440838993,-0.00871118994388237,1.867883855646312,0.7613095370205798,0.12555941186768393,3.0303030302948173
5,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,5,0.7965473213581191,0.059562259250213856,-1.0755939744084912,-0.0015623850775218495,-0.5650298764007431,-0.34910837809245265,0.3712528883808943,-9.090909090908099
6,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,6,0.7164078529435187,-0.1421167392923337,-2.379245072674477,-0.005278344412839461,-0.03504897608900137,0.18555419613619506,-0.11601688885932049,-3.030303030311188
7,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,7,2.1294102524266236,0.24629361701734354,-3.289938832196987,0.002594801798406751,0.477885236643786,0.13173035901000674,0.10740106756034606,-1.515151515159232
8,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,8,-0.3614560522214134,-0.10215104228317529,-0.8661052526130217,-0.001767765882910985,-1.2540412671638137,-0.09702143042974853,-0.16803548793603085,4.545454545455868
9,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,9,-0.6212639086173795,0.24504806056167183,-5.734396200814111,0.006279799997690946,0.14360215928820708,-0.6072439328588359,0.33783190178144196,6.0606060606005485
10,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,0,0.11879506737297163,0.6093458695845158,-1.7744725366919738,-0.0028386985684534932,0.7876737769704647,-0.585916307237369,-0.08590377418946105,-9.090909090915375
11,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,1,0.91094970703125,-0.3417294434826914,2.2374774311718797,-0.0068483446868903425,0.6239149305555429,0.48705014315518724,-0.47543458264286187,6.0606060605969105
12,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,2,-1.1336586692116555,-0.3660625881618742,2.3191245740097446,0.002024783433175109,-0.5800960039851475,-0.2057701650291932,0.14378326107755868,1.5151515151437707
13,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,3,-0.43271767972694875,0.08481825240934171,-0.5777804879783033,-0.007216786578332607,0.47978873204704087,-0.7082736853397051,-0.01659585972024047,-9.094947017729282e-12
14,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,4,-1.6976173477943348,-0.36388936668934946,-3.0220946135125244,0.0003969815178711533,-0.15814424765230228,-0.5744492245041499,0.2221637301974937,3.0303030302966363
15,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,5,0.2963056468000218,-0.3355112942782341,-0.7766606440827917,0.0004277028512869041,-0.9188796534682808,-0.3838760684235041,0.7677945223721565,-7.5757575757670566
16,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,6,1.5897808652935623,-0.5343755086262973,3.498059939536766,0.0066621588569666795,-1.3974738843513137,-0.2534326880868889,-0.3386680525963186,6.0606060606005485
17,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,7,0.9141055020419202,0.5647606319851377,-3.167830766601618,0.0069895410497882865,-4.240987758443801,0.2377442639283629,1.6473748948838534,0.0
18,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,8,-0.7505782926925235,-0.3223265060270677,-0.39062157512459184,0.00038331825240901785,1.4002790354719252,0.2930246218286072,-0.934496792879969,7.275957614183426e-12
19,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,9,-4.369469844933661,0.11076782688951425,0.5156037991858886,4.660671777192982e-06,1.6878378511679557,0.17258807866264192,0.35794383347635517,0.0
20,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,3,2,2,0,-1.9873879172585305,-1.2875181255918307,4.683627244317768,-0.0009616976882655531,-0.1882225576072898,0.13605560919251047,-1.0650210910373517,-9.090909090914465
