,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
0,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,1,0,0,0.5335027521307154,-0.32171962237114116,0.0,0.0,-0.44950234769572717,-0.6852772259953213,-0.06635839288884426,0.0
1,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,2,1,1,-0.20337345624210457,0.0,-1.96295824306529,-0.0008109488605696769,1.2459803109216523,0.0,0.4756811893348072,0.0
2,NotAtaxic,NoSwitch,NoSwitch01,S1,Baseline,3,2,2,0.0,0.008739124644918661,2.543155526206374,0.0020838373669768984,0.0,0.09423882070214518,0.0,0.0
3,NotAtaxic,NoSwitch,NoSwitch01,S1,Split,4,0,0,-9.134851320825419,-3.785639048795936,6.80996217719743,-0.15923516243946353,9.71309777462119,2.530501009237838,-9.318640589621396,-27.272727272727934
4,NotAtaxic,NoSwitch,NoSwitch01,S1,Split,5,1,1,-8.515783753057889,-3.777369104250525,9.274878493585078,-0.16055630118812173,7.884963835128588,0.7181680938343646,-8.766681658298452,-21.21212121211647
5,NotAtaxic,NoSwitch,NoSwitch01,S1,Split,6,2,2,-6.437236130839608,-2.4723276679898234,11.630968557057379,-0.1576982446697647,10.956450182982124,2.9452915384311353,-8.136134677463062,-24.242424242424022
6,NotAtaxic,NoSwitch,NoSwitch01,S1,Split,7,3,3,-5.03029871468587,-1.8783530803641924,4.982858680195242,-0.16009910298417007,11.8829746438999,4.40604508525189,-7.706966697896036,-30.303030303031846
7,NotAtaxic,NoSwitch,NoSwitch01,S1,Split,8,4,4,-6.491682264539918,-1.191733822678053,5.957262830649991,-0.16517123197188757,13.81095346778325,5.353378912415167,-7.6533185913907715,-24.242424242423112
8,NotAtaxic,NoSwitch,NoSwitch01,S1,Split,9,5,5,-3.753168895991166,-2.773518032497819,5.210867124952455,-0.16586025336235513,12.926167189472835,2.8678688109255575,-8.087855637675602,-33.33333333333576
9,NotAtaxic,NoSwitch,NoSwitch01,S1,Split,10,6,6,-3.3481790561868223,-2.0604197184244555,4.631865580948337,-0.16091768318401425,12.653011745876697,4.312459772283333,-8.415356755772692,-30.30303030302457
10,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,11,0,0,0.876825506036937,0.4562360590154668,-1.9455977030768055,-0.006243617390981865,2.5406577370383303,-0.15211805350052998,0.9194229588364209,-1.5151515151519561
11,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,12,1,1,0.939594615589499,0.5399887007896425,0.6270121081539335,0.00033867515208475807,0.23184882269960383,-0.5910445704604967,1.3836176708491195,-3.0303030303039122
12,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,13,2,2,-0.3797588926372555,0.4615447737953957,-2.2738888680875973,-0.00036783832222683777,-0.6548255380958352,-0.21429890334010793,0.34943782921993716,-6.060606060606915
13,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,14,3,3,1.1715667416351039,0.7405309966116249,-0.6646240752831867,-0.0042504211213438,0.8774266098484986,-0.3908365423029636,1.2711341934974882,-3.0303030303039122
14,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,15,4,4,0.15664919458257032,0.40281998990764833,-2.5233156370389835,4.547001095109304e-05,-1.1251199125039761,-0.4605895019942494,1.3917479852233328,-9.090909090902187
15,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,16,5,5,-0.7689967299952514,0.3760977305145943,-1.2727050837718838,0.0019161565317542817,-1.3616542623500862,0.14671788071139247,0.42877004604146407,-3.0303030303039122
16,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,17,6,6,-2.0903924498895208,0.5668687820434712,0.3527318721904864,-0.00238797353351497,-0.02590911556978881,-1.000043695623276,0.860325977055652,3.637978807091713e-12
17,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,18,7,7,-2.2483440360637275,-0.38503396390662914,2.6863518978132577,0.0022582346223792432,-0.3935457480074831,-1.7922657667988773,0.3759966268168,-4.545454545448592
18,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,19,8,8,-2.771265819819277,-0.09258828981957379,1.2847520988623211,-0.001496742549814578,-0.10096232096358904,-0.8110395746199401,0.007346182158528336,-3.0303030303002743
19,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,20,9,9,-0.9690101700599314,-0.19612938466697472,1.7706479821873886,-0.002398692634868249,1.4997848356612735,-0.32577476116145476,-0.3958268599076291,-3.0303030303039122
20,NotAtaxic,NoSwitch,NoSwitch01,S1,Washout,21,10,10,-0.1984182030263355,0.2496512249262537,-1.1105157691268215,0.000624785059582772,-1.2722362171520132,-0.549870885983907,0.27609751280708394,-6.0606060606114625
21,NotAtaxic,NoSwitch,NoSwitch01,S2,Baseline,22,0,3,-0.5995702261876374,0.8152942464809314,3.3289522783859136,-0.0028078538224052957,-1.2162025528724882,0.784433152940494,0.682586130469744,1.5151515151519561
22,NotAtaxic,NoSwitch,NoSwitch01,S2,Baseline,23,1,4,-2.425037730823817,-0.7980770534939055,2.494619316653215,0.0005809501497411745,0.916737257832196,-0.9423542664910514,-0.2535887438841087,-3.0303030303039122
23,NotAtaxic,NoSwitch,NoSwitch01,S2,Baseline,24,2,5,0.2703425860164259,0.14519739632658002,2.6601749234434156,-0.0015259369534359746,-0.6408999664614612,-0.3879389136729401,0.10668822009154155,9.094947017729282e-13
24,NotAtaxic,NoSwitch,NoSwitch01,S2,Split,25,0,7,-6.601855859210588,-3.8217668409471344,6.994109567704572,-0.14999717221588513,5.76880098593351,1.5896849198774134,-8.895928691131914,-24.242424242419474
25,NotAtaxic,NoSwitch,NoSwitch01,S2,Split,26,1,8,-4.879514135495555,-2.142222015945997,3.1943669327243844,-0.15755949056209614,11.003089673591361,3.573151242390253,-7.9608522280298075,-24.242424242423226
26,NotAtaxic,NoSwitch,NoSwitch01,S2,Split,27,2,9,-4.866567284169804,-2.666097698789642,5.072981924885231,-0.15747689834186102,9.798639470880687,2.246506430885958,-7.212417294280698,-21.21212121212011
27,NotAtaxic,NoSwitch,NoSwitch01,S2,Split,28,3,10,-5.908126060408733,-3.2680106885505467,2.602931366804132,-0.15795612073386608,8.084738374960523,0.386733623466057,-7.555000228111197,-24.242424242431298
28,NotAtaxic,NoSwitch,NoSwitch01,S2,Split,29,4,11,-4.532939255839608,-3.444324412062244,0.6268496099004568,-0.161715329973128,7.524941184303913,1.119413664846661,-7.305284461589764,-21.212121212119655
29,NotAtaxic,NoSwitch,NoSwitch01,S2,Split,30,5,12,-4.670345421993318,-2.399224945993126,4.043155526206374,-0.15550466983512048,7.821716925110479,1.261736551920535,-6.502514243297895,-18.18181818181256
30,NotAtaxic,NoSwitch,NoSwitch01,S2,Split,31,6,13,-5.6538899739583,-3.4810995814775794,-0.5253555465570026,-0.1475298745786017,4.818602282591499,-1.0039335308653108,-6.844727487275094,-21.212121212123748
31,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,32,0,11,2.200486924913207,1.2746473755499323,-1.9396454565946089,-0.006768875824201048,0.28979368884154155,0.5975857166328069,1.4334129564689704,3.0303030303039122
32,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,33,1,12,0.2839676057449907,0.08239787976680901,-2.5477535647027176,-0.0035979223690895956,-0.09831604146182826,-0.8294939753985489,0.7525309167726775,-3.0303030303039122
33,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,34,2,13,-0.5129110933554273,0.3777667729541605,2.1397464352972824,-0.007304803208808108,-1.588594070588755,-0.5853128914881438,0.11005594272805297,7.275957614183426e-12
34,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,35,3,14,1.327252628827381,0.761315316864966,3.8352251587015376,-0.004351966135445751,-0.1677079634233678,0.4710846717911181,0.2676568850122294,3.0303030303039122
35,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,36,4,15,1.246797195588755,0.9414788448449656,-0.629594996927783,-0.00500822664584763,-0.7829762468434183,0.2518715521301971,0.6398595944799865,7.275957614183426e-12
36,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,37,5,16,-0.2665587145872763,0.10448031955296955,-0.008274264660037112,-0.004919601155748868,-1.9741328075679263,-0.22446607767402327,0.08244177307747691,-3.0303030302929983
37,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,38,6,17,2.944291240037117,1.5949856151234343,1.464557041357888,-0.0014563695324526504,-1.9971751203440817,1.0659732240619206,1.680377585891378,3.0303030302984553
38,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,39,7,18,-2.3233124704071884,-0.7789554017962814,1.2577708444744422,-0.0017136634871777329,-1.8239878644847352,-1.5282405506481211,-0.24118736406636998,3.0303030303020932
39,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,40,8,19,-0.03716054588853979,-0.5120253322100012,0.3348672866681337,-0.002432607941835016,-1.3899138479522293,-1.4341408315331563,0.5007503008601759,3.0303030302984553
40,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,41,9,20,-1.7580745196101475,-0.7015786989770589,0.9005222973662477,0.0010081146208639202,-1.588856090198874,-1.479955731016247,-1.015472412109375,-3.0303030302966363
41,NotAtaxic,NoSwitch,NoSwitch01,S2,Washout,42,10,21,-4.493821269333949,-1.7673056849168205,2.538382612491705,-0.002328815692892866,-1.875844627919875,-3.8267857883576966,-0.792019776623647,-3.0303030303039122
42,NotAtaxic,NoSwitch,NoSwitch01,S3,Baseline,43,0,6,-0.3704803158538539,0.32412596423216655,3.891640374691222,-0.0003262862225218155,-2.1961404819681434,0.11097339668657469,0.6865761496804055,0.0
43,NotAtaxic,NoSwitch,NoSwitch01,S3,Baseline,44,1,7,-1.0464832036182088,-0.4488875167538211,2.387738322251935,-0.001961120733451893,-0.8642755373559865,-0.2102265213475505,-0.8238590124881711,3.0303030303002743
44,NotAtaxic,NoSwitch,NoSwitch01,S3,Baseline,45,2,8,-3.0479354087751886,-0.1733972568704445,2.7599248033204784,-0.00046817778155407164,-1.349023375848347,-0.4329041760377521,-0.9095413516266149,3.030303030302548
45,NotAtaxic,NoSwitch,NoSwitch01,S3,Split,46,0,14,-3.9017494278724314,-2.5553129598087096,3.716647356956268,-0.15538306117794173,6.419680816958618,1.9007161115823408,-7.714296848284221,-21.21212121211647
46,NotAtaxic,NoSwitch,NoSwitch01,S3,Split,47,1,15,-3.1941346447876953,-2.3444579774148053,3.7898579614832686,-0.15443343895946374,5.76098663638335,1.6892292523624377,-6.686031457149582,-18.181818181817107
47,NotAtaxic,NoSwitch,NoSwitch01,S3,Split,48,2,16,-3.4080351241911018,-1.8781671620378546,3.101062565522958,-0.15740910176656395,9.507289077296363,1.0740939053621616,-6.702358554107946,-21.21212121212011
48,NotAtaxic,NoSwitch,NoSwitch01,S3,Split,49,3,17,-3.392552847814102,-1.9238626114045303,6.182405165456012,-0.15875149246568168,6.3864659781407624,1.2256321412253044,-6.49390686240659,-12.121212121222925
49,NotAtaxic,NoSwitch,NoSwitch01,S3,Split,50,4,18,-4.733438202829092,-2.3217407139864434,3.886327781720845,-0.16282489251838975,9.233324455492408,1.0526232209479929,-7.2135961684581105,-30.30303030302457
