,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
49,,,,,,,,,,-2.6225311587555,7.613751977436704,-0.13832465111142794,11.039556638158928,4.226721175993291,-10.479397243923628,-15.1515151515232
50,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,26,0,9,-0.2791048300387047,,,,,,,
51,,,,,,,,,,0.3981912978971991,0.7022238508082288,-0.0014183281056424496,0.10043057528415034,0.7417871494485411,-0.1414000385939147,3.0303030303002743
52,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,27,1,10,0.1785355384903795,,,,,,,
53,,,,,,,,,,0.16157073203965666,-1.3540917511169228,0.0007795912872315264,0.22524438723171158,0.1409607704239022,-0.23960730042118428,6.0606060606114625
54,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,28,2,11,1.3514817363084006,,,,,,,
55,,,,,,,,,,0.8792819398822473,-1.888723785748958,0.0009279304639941699,0.5470969460227337,0.2684728063717756,0.6064675071022663,6.060606060601458
56,NotAtaxic,Switch,SwitchLeft01,S2,Split,29,1,5,-5.631726197522028,,,,,,,
57,,,,,,,,,,-2.968587779035488,6.917708587847594,-0.1449152778062038,14.395372795336215,5.249782523723496,-11.251584447995555,-24.24242424242857
58,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,30,3,12,3.250892716224712,,,,,,,
59,,,,,,,,,,1.6614663480508227,-3.9236888207139913,-0.0023329795361531347,0.8686874852035942,1.2277005898831135,1.8585436271899027,3.0303030302966363
60,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,31,4,13,0.3865559895833144,,,,,,,
61,,,,,,,,,,0.5549864335493311,-1.0583524027459958,0.0020510122084466675,0.6569602272727195,0.4114671186966632,0.7325451783459584,3.0303030303020932
62,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,32,5,14,3.078977026120583,,,,,,,
63,,,,,,,,,,1.0821891553474217,-4.109943244256551,0.001309730482878524,0.27391838304927774,0.5815525247592745,1.4209284926905639,3.0303030302929983
64,NotAtaxic,Switch,SwitchLeft01,S2,Split,33,2,6,-5.486120358862053,,,,,,,
65,,,,,,,,,,-3.5340757081002536,5.702125624451204,-0.14654876314773757,13.032238892834613,4.177717729048254,-11.937463163125386,-18.181818181825292
66,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,34,6,15,3.3701501711449993,,,,,,,
67,,,,,,,,,,1.4607978589607313,-3.519856413725811,0.0015933841102486468,0.22898201990611255,1.0934386590513725,1.8708200165719546,3.0303030302966363
68,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,35,7,16,2.6932841599589494,,,,,,,
69,,,,,,,,,,1.6320093713625639,-3.459880204731464,0.0012080737585366402,-0.34726075451784766,1.1282159824563394,1.7312078764944516,3.0303030303002743
70,NotAtaxic,Switch,SwitchLeft01,S2,Intersplit,36,8,17,1.2956407335069002,,,,,,,
71,,,,,,,,,,0.9233224271523994,-2.8837809314910343,0.0031123665650737986,-0.38547708530617797,-0.0033137774227043337,1.502532188338506,0.0
72,NotAtaxic,Switch,SwitchLeft01,S2,Split,37,3,7,-3.5236551304056434,,,,,,,
73,,,,,,,,,,-2.4827937887172453,2.7379147585073795,-0.1475784250262258,12.632882474648852,4.983890417850347,-10.411811597419515,-21.21212121211647
74,NotAtaxic,Switch,SwitchLeft01,S2,Washout,38,0,5,3.46863871873029,,,,,,,
75,,,,,,,,,,1.6827631478357858,-3.6905098626653396,-0.0009469047298195366,0.755171342329561,1.2178883408054588,1.5901546285610095,3.0303030302948173
76,NotAtaxic,Switch,SwitchLeft01,S2,Washout,39,1,6,1.970865268899928,,,,,,,
77,,,,,,,,,,1.103582285871397,-3.909229595728453,0.005921393483104831,-0.7313583836410658,0.4479032574277255,1.6267834287701248,3.637978807091713e-12
78,NotAtaxic,Switch,SwitchLeft01,S2,Washout,40,2,7,1.2068623244160506,,,,,,,
79,,,,,,,,,,0.9123098970663861,-1.8508742478994202,0.003841667572036439,-0.189270636047965,0.5775779184668863,1.2092802259657276,3.0303030302998195
80,NotAtaxic,Switch,SwitchLeft01,S2,Washout,41,3,8,1.8037738222064377,,,,,,,
81,,,,,,,,,,1.0731995707810427,-3.3055908692827067,0.003003321014305671,-0.2500283597695443,0.637836648960274,1.4650826502328016,-3.637978807091713e-12
82,NotAtaxic,Switch,SwitchLeft01,S2,Washout,42,4,9,1.7936398284603996,,,,,,,
83,,,,,,,,,,1.2007828914758178,-3.4542864368547503,0.00028802718427263507,0.13387660787566347,0.7867870908794004,1.2863852761008587,-3.637978807091713e-12
84,NotAtaxic,Switch,SwitchLeft01,S3,Baseline,43,0,6,0.3960965859769203,,,,,,,
85,,,,,,,,,,0.16204564258308096,-0.4552822273073991,-0.0027033554523230863,0.27331727923768767,0.06071533819635988,0.3866407606336679,3.0303030303002743
86,NotAtaxic,Switch,SwitchLeft01,S3,Baseline,44,1,7,0.24454136087439338,,,,,,,
87,,,,,,,,,,0.6562897653290918,-0.2288329519450807,-0.004390476227270873,0.7737747346511981,0.51028704402421,0.40431167140150137,3.0303030302929983
88,NotAtaxic,Switch,SwitchLeft01,S3,Baseline,45,2,8,1.5309343434343532,,,,,,,
89,,,,,,,,,,0.5262278547191102,-0.21184510887028196,-0.0009412108563043864,0.767100941051126,0.40834600275204025,0.7413228352864394,-3.637978807091713e-12
90,NotAtaxic,Switch,SwitchLeft01,S3,Split,46,0,8,-5.823732626558581,,,,,,,
