,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym
65,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Split,66,2,47,0.3199105310921766
66,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,67,0,12,3.513405539772748
67,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,68,1,13,3.360971778330196
68,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,69,2,14,4.233782219164311
69,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,70,3,15,2.2911534164891663
70,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,71,4,16,3.9588080512153
71,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,72,5,17,2.4419457021385824
72,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,73,6,18,0.0038840553976910996
73,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,74,7,19,1.4523592862216077
74,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,75,8,20,0.3925978535353636
75,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,76,9,21,1.7713604551373408
76,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,77,10,22,0.28137823547982066
77,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,78,11,23,1.5721870191169671
78,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,79,12,24,-0.9839298749210457
79,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,80,13,25,0.7076995541351323
80,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,81,14,26,1.4684349599510824
81,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,82,15,27,2.026089754971622
82,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,83,16,28,0.8457838886916278
83,NotAtaxic,NoSwitch,NoSwitchLeft02,S4,Washout,84,17,29,1.944963859789297
84,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,85,84,30,-0.34229779484292067
85,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,86,85,31,0.22870458737773447
86,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,87,86,32,0.8524268564552102
87,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,88,87,33,2.8382811883483186
88,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,89,88,34,1.6111585828993782
89,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,90,89,35,1.871600182227894
90,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,91,90,36,1.4232905224116337
91,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,92,91,37,1.0218995990175301
92,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,93,92,38,-0.45864220821496815
93,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,94,93,39,-0.21642819799555468
94,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,95,94,40,-0.3077497385968684
95,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,96,95,41,0.1410898536143037
96,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,97,96,42,-0.44954087999131787
97,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,98,97,43,1.2724442915482683
98,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,99,98,44,1.3079479487255838
99,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,100,99,45,0.8354649399266378
100,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,101,100,46,1.9505664555713054
101,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,102,101,47,2.34977645103379
102,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,103,102,48,1.4123165246212182
103,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,104,103,49,1.4609288687657909
104,NotAtaxic,NoSwitch,NoSwitchLeft02,S5,Washout,105,104,50,-0.18508243239685385
105,NotAtaxic,NoSwitch,NoSwitchLeft02,S6,Baseline,106,0,6,1.5675708501026122
