,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
0,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,0,3.6675963738952078,0.8511784100773667,-2.32613629032564,-0.01346779915733913,0.21747627643625833,0.36992930402652746,0.49236952656445965,-0.005156820225536762,3.0303030303002743
1,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,1,0.34723763514047334,0.40078403973822674,-2.526953709190148,0.00557883183461684,-0.058561382871630485,1.1974777838195791,0.3938251071506329,-0.5848654881698501,-4.545454545459506
2,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,2,-0.008261324179287044,-0.5452194599190108,-2.130655086270129,-0.010845654200986155,1.9880429662839703,0.3716902299360214,-0.12035755196001219,-1.8527790426094413,3.0303030302984553
3,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,3,0.29552729442869463,0.016642098474989098,0.5634906664654955,-0.003989669865175016,-1.6740124635022084,0.39785751188637164,0.09189181857641415,0.4525611374961471,3.0303030303039122
4,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,4,-0.5892204515862005,0.19641645026928956,-1.3334092818660546,-0.0035364862411471215,-0.05419182054920668,0.639383720629084,0.3981619170217954,-2.4347790283268935,-4.545454545461325
5,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,5,-1.5864670878709148,0.7916411968192776,5.300780945872776,-0.0014391579418110145,1.4216490466185547,-0.011158952809395828,0.4482404150143964,-0.13547035638340788,3.0303030303002743
6,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,6,0.9525183475378753,1.541503752120832,3.508878611853441,0.0026011982603544315,-1.0166900326507005,1.0794899680397236,0.30137264367306216,-0.20966357980097428,3.0303030302929983
7,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,7,0.07091483684499167,-0.28087153579248536,3.8601939631687916,0.0010075137904532183,0.17128376045613436,-1.1699560916785288,-0.7276438703440533,1.2070848331881763,3.0303030303002743
8,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,8,-4.070782902264838,-0.8221780410920658,1.1997815992523841,-0.0011575116955223619,-1.718301484079035,-1.3216115007497393,-0.19554176715891458,1.680188696368294,1.5151515151410422
9,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,1,0,0,9,1.437100497159065,0.4035930440883533,-1.5727064697316413,-0.00501382246537907,0.1701740303424515,0.6160890213166113,0.8026469837535615,0.3326810176109589,-6.0606060606041865
10,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,2,1,1,0,4.892645941840328,1.5108840634124476,-5.142782227307399,-0.006881993682506526,-0.16496446397567865,-0.25600471881909925,0.27582187845248995,-3.118570060903714,-3.637978807091713e-12
11,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,2,1,1,1,-2.5824190390230513,-0.02582627113419278,2.8620254650002934,-0.002195453218652166,1.8831503511679273,-0.01489658548382522,-0.45590641522647957,0.558925361504059,-3.637978807091713e-12
12,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,2,1,1,2,0.3062084467723736,-0.16358693440754024,-1.7747266717518437,0.002314157022788213,-1.07576774828361,-0.20884311560433844,0.8165590690844056,-3.2250203593354314,-7.5757575757616
13,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,2,1,1,3,-0.8035370797822026,0.06634297997064209,2.153029711075142,0.0032328414277879997,-0.38943049883603464,1.0634875056718585,-0.449797119757136,-1.7103735969620182,-6.0606060606078245
14,NotAtaxic,Switch,SwitchLeft01,S1,Baseline,2,1,1,4,2.1393284653172344,1.3131777445475379,-2.2685411813582492,-0.00020141009709202795,-0.5813521568221205,1.4800177680120896,1.4767328898111884,-0.13363036419093532,-5.4569682106375694e-12
