,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
0,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,1,0,0,-0.42663728347930885,-0.5128879739780601,0.6349037638502582,-0.0021973279867908424,0.0,-0.40957807290432413,-0.6039821740352807,0.0,0.0
1,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,2,1,1,0.0,0.0,0.0,0.0,-0.8237048833056946,0.10950107767126838,0.0,0.19791674532103798,0.0
2,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,3,2,2,1.2165108112373844,0.09799726081614324,-1.839683074811778,0.00021432648963085055,0.49306387853140166,0.0,0.29827850033535697,-0.4024026202803057,-3.0303030303039122
3,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,4,3,3,-0.6804341017597721,-0.16873484910135517,1.4294959505281168,0.0009334274536600407,0.2691480848524037,0.28666871966734675,-0.4449979223385867,1.2394237190677373,0.0
4,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,5,4,4,-0.826009114583286,-0.14217068450621184,0.45211878545211714,0.0005133144653163002,0.497058906940552,-0.2773747299656293,-0.4554671470565097,0.06588175605278934,3.637978807091713e-12
5,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Baseline,6,5,5,-0.744274409130341,-0.41565365261503473,0.2734957110109373,-0.001340755493892759,0.004115249171420032,0.0645907238276493,-0.6400252833510933,0.7754228188528351,0.0
6,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,7,0,0,-8.784808534564391,-4.506513807508668,12.796094254427587,-0.15484384114820374,13.296385485716556,3.861456206350624,-13.297786134662033,-12.754631064462934,-30.30303030302457
7,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,8,1,1,-7.6439135002366925,-4.359838697645415,9.581472019282963,-0.15382702672963683,12.834468032374517,3.3096043750493607,-12.898921003245363,-10.982942837080302,-27.272727272720658
8,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,9,2,2,-8.591653843118678,-4.820453759395747,14.456447789781123,-0.1555627973121659,13.834319451842603,2.949809064768857,-12.899660823321113,-8.950679274414377,-24.242424242424022
9,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,10,3,3,-4.788909295592603,-2.818805039531064,6.555435637762396,-0.15262152468935927,12.83200196545532,4.416941633128189,-10.821363661024307,-10.467766742282258,-24.242424242424477
10,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,11,4,4,-6.79982503255205,-3.6168377808850423,6.145812479145812,-0.1587396669679921,12.884251758305723,3.3723388055358328,-11.262517986875608,-10.921793762875524,-27.272727272720658
11,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,12,5,5,-6.3306249753393615,-3.696520641596649,7.267340600673934,-0.1573410498281932,14.161797725793079,3.5400775947956333,-12.607181433475347,-11.47598798254252,-24.24242424242493
12,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,13,6,6,-5.490297259706466,-3.3695028285788027,6.806848921285752,-0.15745257229556367,14.097217598346745,4.213059550583949,-11.15928804031526,-11.86570778117396,-24.242424242424022
13,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,14,7,7,-7.225236989030947,-3.7693139278527923,9.564140643375616,-0.16077251008311044,14.908214530559476,4.532765860509386,-12.426711573745308,-11.806264362676217,-27.272727272724296
14,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,15,8,8,-5.555894639756872,-3.1128700333412667,8.785452118785452,-0.15730997262114954,14.185579858645,4.435047958836435,-11.470586603338091,-11.10327695409076,-24.24242424242584
15,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,16,9,9,-5.4434728140782624,-3.7931654188368213,9.668081226766674,-0.15730071782273147,14.8206999807647,4.167579882072715,-12.55154465184063,-11.761059487101207,-24.24242424242584
16,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,17,10,10,-2.7842203776041288,-2.0749226965085725,4.750364399487206,-0.1554066141513548,12.409348921342314,5.754091282083564,-9.570443509805102,-12.169980208073294,-24.24242424242857
17,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,18,11,11,-3.080526024404165,-2.1797228341150685,5.2285310081694005,-0.15982873388961724,13.495766996133241,5.4934414950284065,-10.747768903019463,-12.374261278775784,-27.272727272729753
18,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,19,12,12,-2.5909192634350973,-1.6787999636167257,1.140961111277158,-0.16016518155774565,13.217941438308898,5.845179702296377,-9.659688159672896,-14.5937145491147,-30.303030303030027
19,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,20,13,13,-1.380211415916932,-2.2397763801343658,-0.35568491485511666,-0.15758610042952395,11.674576576309974,5.47550856465044,-10.080381836553997,-15.244947120954304,-31.81818181818562
20,NotAtaxic,NoSwitch,NoSwitchLeft02,S1,Split,21,14,14,-2.8859302251025696,-2.2442740623397057,3.1420254813829107,-0.16078214726148352,12.900990187519753,5.106161098287572,-10.427577086169308,-12.668744435185335,-27.272727272727934
21,NotAtaxic,NoSwitch,NoSwitchLeft02,S2,Split,22,0,15,-1.0460131096116925,-0.5008312186809576,5.096143269911617,-0.14662761123270443,12.22456344450363,7.966933587584833,-9.921596026179742,-13.177361487189714,-33.33333333333576
22,NotAtaxic,NoSwitch,NoSwitchLeft02,S2,Split,23,1,16,-2.6829729176530606,-0.8892878137453764,4.702021559628939,-0.15392369039004541,13.64290642015861,6.867439578277896,-9.142097319015377,-14.465686891596935,-36.36363636363967
23,NotAtaxic,NoSwitch,NoSwitchLeft02,S2,Split,24,2,17,-4.586391256313135,-2.716912163628507,7.20976889108832,-0.15660540432681447,13.606948081893066,5.681999283607553,-11.969760933307668,-11.513004822836514,-30.303030303031846
24,NotAtaxic,NoSwitch,NoSwitchLeft02,S2,Split,25,3,18,-4.2513606524226475,-2.7132776048448477,7.380190713524047,-0.15696642385966317,14.403873019748247,5.285750495062928,-11.160178136343845,-11.538798474862961,-24.242424242422203
25,NotAtaxic,NoSwitch,NoSwitchLeft02,S2,Split,26,4,19,-4.392049770162544,-2.649085208623127,8.08787063807144,-0.15749048525720646,13.18979744959357,5.470210374003699,-11.407054554332376,-12.01042379685272,-30.303030303030027
